# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
21.78	0.99469	0.08897	0.99357	0.99573	0.08811	0.08981
21.8	0.99384	0.08924	0.99272	0.9951	0.08844	0.09003
21.82	0.99283	0.08936	0.99172	0.99399	0.08856	0.09027
21.84	0.99193	0.08944	0.9908	0.99311	0.08866	0.09031
21.86	0.99106	0.0897	0.98994	0.99222	0.08891	0.09051
21.88	0.99033	0.09016	0.9891	0.99157	0.08934	0.09103
21.9	0.98944	0.08986	0.98834	0.99061	0.08906	0.09072
21.92	0.98859	0.09009	0.98747	0.98982	0.08925	0.0909
21.94	0.98788	0.09023	0.98674	0.98914	0.08928	0.09102
21.96	0.98705	0.09033	0.98596	0.98819	0.08945	0.09115
21.98	0.98633	0.09056	0.98516	0.98748	0.0897	0.09143
22.0	0.98572	0.09098	0.98452	0.98689	0.09014	0.09181
22.02	0.98496	0.09073	0.98374	0.98604	0.08989	0.09161
22.04	0.98417	0.09096	0.98302	0.98534	0.09018	0.09181
22.06	0.9836	0.09116	0.98233	0.98472	0.09029	0.09199
22.08	0.98285	0.09122	0.98173	0.9841	0.09037	0.09204
22.1	0.9823	0.09124	0.98108	0.98352	0.09042	0.09204
22.12	0.98179	0.09178	0.98058	0.98308	0.09092	0.09259
22.14	0.98103	0.09156	0.97988	0.98228	0.09074	0.09234
22.16	0.98042	0.0919	0.9792	0.98157	0.09107	0.09273
22.18	0.97993	0.09191	0.97861	0.98109	0.09106	0.0927
22.2	0.97917	0.09191	0.97794	0.98032	0.0911	0.09268
22.22	0.97851	0.0923	0.97731	0.97977	0.09141	0.0931
22.24	0.97809	0.09253	0.9767	0.97929	0.09174	0.09336
22.26	0.97755	0.09252	0.97628	0.97874	0.09172	0.09332
22.28	0.97691	0.09271	0.97562	0.97811	0.0919	0.09355
22.3	0.97637	0.09273	0.97506	0.97763	0.09194	0.09357
22.32	0.97589	0.09277	0.97461	0.97711	0.09196	0.09363
22.34	0.97536	0.09312	0.97412	0.97666	0.09231	0.09397
22.36	0.9748	0.09347	0.97345	0.9761	0.09262	0.09436
22.38	0.97441	0.09311	0.97315	0.97561	0.09231	0.09392
22.4	0.97392	0.09345	0.97268	0.9752	0.09256	0.09429
22.42	0.97332	0.09358	0.97195	0.97466	0.0927	0.0944
22.44	0.97292	0.09365	0.97166	0.97424	0.0928	0.09444
22.46	0.97237	0.09396	0.9711	0.97363	0.0931	0.0948
22.48	0.97195	0.09425	0.97057	0.97343	0.09338	0.09507
22.5	0.9714	0.09404	0.97013	0.97267	0.09325	0.09486
22.52	0.97092	0.09433	0.96959	0.97227	0.09349	0.09517
22.54	0.97045	0.09446	0.96918	0.97178	0.09367	0.0953
22.56	0.97002	0.09452	0.96871	0.97139	0.0937	0.09533
22.58	0.96958	0.09462	0.9683	0.97087	0.09381	0.09545
22.6	0.96916	0.09517	0.96773	0.97052	0.09434	0.09604
22.62	0.9688	0.09483	0.96747	0.97006	0.09405	0.09561
22.64	0.96828	0.09509	0.96699	0.96954	0.09425	0.09593
22.66	0.96771	0.095	0.96631	0.96907	0.09418	0.09585
22.68	0.96739	0.09539	0.96604	0.96879	0.09453	0.0963
22.7	0.96702	0.09538	0.96571	0.96835	0.09453	0.0962
22.72	0.96644	0.09591	0.96503	0.96789	0.09498	0.09675
22.74	0.96601	0.09565	0.96478	0.96733	0.09483	0.09643
22.76	0.9656	0.09595	0.96431	0.9669	0.09509	0.09681
22.78	0.96527	0.09593	0.964	0.96673	0.09508	0.09676
22.8	0.96476	0.09621	0.96346	0.96606	0.09535	0.09704
22.82	0.96438	0.09623	0.96304	0.96573	0.09536	0.09708
22.84	0.96401	0.09679	0.96262	0.96542	0.09592	0.09761
22.86	0.96364	0.09647	0.96235	0.96494	0.09562	0.09727
22.88	0.9631	0.09672	0.96181	0.96452	0.09592	0.09756
22.9	0.96274	0.09682	0.96136	0.96408	0.09591	0.09771
22.92	0.96248	0.09708	0.96109	0.96376	0.09621	0.09796
22.94	0.96184	0.09721	0.96045	0.96321	0.09636	0.09806
22.96	0.96161	0.09761	0.96005	0.96312	0.09673	0.09846
22.98	0.96124	0.09714	0.95993	0.96254	0.09634	0.09801
23.0	0.96073	0.09761	0.95934	0.96211	0.09673	0.0985
23.02	0.96051	0.09744	0.95908	0.96191	0.09656	0.09829
23.04	0.95994	0.09755	0.95854	0.96137	0.09663	0.09839
23.06	0.95969	0.09786	0.95829	0.96109	0.09697	0.09875
23.08	0.95932	0.09834	0.95798	0.96082	0.09743	0.0992
23.1	0.95886	0.09813	0.95754	0.96022	0.0972	0.09903
23.12	0.95851	0.09818	0.95717	0.95991	0.09732	0.09903
23.14	0.95797	0.09831	0.95647	0.95942	0.0974	0.09928
23.16	0.95783	0.09816	0.95649	0.95925	0.09723	0.09907
23.18	0.95727	0.0986	0.95591	0.95863	0.0977	0.09951
23.2	0.95704	0.09899	0.95553	0.95857	0.09807	0.09989
23.22	0.9567	0.09877	0.95534	0.95805	0.09794	0.09962
23.24	0.95618	0.09888	0.95482	0.95754	0.09798	0.09978
23.26	0.95587	0.09906	0.9544	0.95732	0.09819	0.09996
23.28	0.95544	0.0989	0.9541	0.95679	0.09805	0.09982
23.3	0.95504	0.09921	0.95359	0.95643	0.09834	0.10015
23.32	0.95482	0.09989	0.95346	0.95635	0.09901	0.10082
23.34	0.95453	0.0994	0.9532	0.95586	0.09852	0.10031
23.36	0.95405	0.09938	0.95265	0.9555	0.09849	0.10027
23.38	0.95378	0.09976	0.95234	0.95523	0.09886	0.10071
23.4	0.95326	0.0999	0.95194	0.95459	0.09902	0.10082
23.42	0.95278	0.10023	0.95136	0.95415	0.09938	0.10116
23.44	0.95257	0.10051	0.95108	0.95415	0.0996	0.10143
23.46	0.95214	0.10027	0.95078	0.95349	0.09939	0.10119
23.48	0.95176	0.10043	0.95037	0.95315	0.09954	0.10132
23.5	0.95146	0.10051	0.95	0.95292	0.09956	0.10145
23.52	0.95118	0.10052	0.94987	0.95261	0.09967	0.10146
23.54	0.95089	0.10082	0.94949	0.95232	0.09988	0.10175
23.56	0.95052	0.10135	0.949	0.9521	0.10042	0.10224
23.58	0.95017	0.10083	0.94879	0.95152	0.10004	0.10164
23.6	0.94972	0.10104	0.94841	0.95102	0.1002	0.1018
23.62	0.94955	0.10105	0.94803	0.95091	0.10015	0.10186
23.64	0.9492	0.10116	0.94784	0.95044	0.10033	0.10203
23.66	0.94867	0.10146	0.94737	0.95003	0.10063	0.10228
23.68	0.94848	0.10181	0.94708	0.95001	0.10095	0.10271
23.7	0.94825	0.10147	0.94703	0.94961	0.10065	0.10228
23.72	0.94765	0.10167	0.94633	0.94895	0.10091	0.10249
23.74	0.94754	0.10166	0.94615	0.949	0.10085	0.10252
23.76	0.94726	0.1017	0.94597	0.94856	0.10088	0.10252
23.78	0.94689	0.10198	0.94557	0.94818	0.1012	0.10281
23.8	0.94654	0.10249	0.94514	0.94807	0.10163	0.10336
23.82	0.94613	0.10203	0.9448	0.94744	0.10119	0.10289
23.84	0.94579	0.10228	0.94444	0.94707	0.10144	0.10309
23.86	0.94547	0.10221	0.94402	0.94686	0.10134	0.10312
23.88	0.94508	0.10233	0.94382	0.94645	0.1015	0.10308
23.9	0.94461	0.10254	0.94331	0.946	0.10172	0.10337
23.92	0.94456	0.10297	0.94303	0.94608	0.10208	0.10389
23.94	0.94398	0.10254	0.94268	0.94543	0.10171	0.10334
23.96	0.94364	0.10275	0.94227	0.94495	0.10191	0.10357
23.98	0.94339	0.10284	0.94197	0.945	0.102	0.10372
24.0	0.94321	0.10283	0.94185	0.9445	0.10205	0.10372
24.02	0.94275	0.10315	0.94145	0.94408	0.10229	0.10397
24.04	0.94253	0.1036	0.94106	0.94403	0.10275	0.10451
